"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",14.8125
"8",15.0520833333333
"9",15.5208333333333
"10",16.1354166666667
"11",16.826388888875
"12",17.5173611110833
"13",17.0833333332917
"14",15.2430555555
"15",14.0763888888333
"16",14.0763888888333
"17",14.3472222221667
"18",14.9409722221667
"19",15.7274305555
"20",17.2222222221667
"21",18.8784722221667
"22",18.9513888888333
"23",18.5624999999583
"24",17.8506944444167
"25",16.107638888875
"26",14.3645833333333
"27",13.9270833333333
"28",14.9895833333333
"29",15.2395833333333
"30",15.1875
"31",15.796875
"32",15.9131944444583
"33",17.0138888889167
"34",19.28472222225
"35",19.3993055555833
"36",18.7743055555833
"37",19.09722222225
"38",19.15972222225
"39",18.72222222225
"40",17.65972222225
"41",17.03472222225
"42",16.4461805555833
"43",15.0555555555833
"44",14.104861111125
"45",13.0395833333333
"46",12.33125
"47",12.0881944445833
"48",10.3555555558333
"49",9.0534722225
"50",9.03263888916667
"51",9.03263888916667
"52",9.33819444472083
"53",11.1229166669417
"54",15.121875000275
"55",19.26517857165
"56",20.967857143025
"57",20.2136904763583
"58",19.1511904763583
"59",18.4359126984417
"60",17.9498015871917
"61",17.8873015871917
"62",17.8248015871917
"63",18.8248015871917
"64",21.0609126983042
"65",22.3109126982917
"66",21.0185515871667
"67",18.6200396824583
"68",16.6111111110833
"69",15.5381944444167
"70",14.9444444444167
"71",15.37152777775
"72",16.9444444444167
"73",18.8819444444167
"74",23.0486111110833
"75",25.5305555554583
"76",25.6374999998333
"77",25.290277777625
"78",24.3805555554167
"79",23.7555555554167
"80",23.6305555554167
"81",24.5159722220833
"82",24.3909722220833
"83",24.46388888875
"84",26.1166666666667
"85",25.9569444445833
"86",22.3944444445833
"87",19.516666666875
"88",16.8680555558333
"89",14.1805555558333
"90",12.3263888891667
"91",11.0555555558333
"92",10.5555555558333
"93",9.30555555583333
"94",9.5772058825
"95",9.1910036450625
"96",6.60953996970833
"97",5.415095525125
"98",4.790095525125
"99",4.18592885845833
"100",4.18592885845833
"101",4.18592885845833
"102",4.18592885845833
"103",4.62342885845833
"104",5.665095525125
"105",6.26926219179167
"106",4.935111865125
"107",3.4775641025625
"108",3.375
"109",4.6875
"110",7.63541666666667
"111",10.875
"112",14.5
"113",16.5416666666667
"114",16.5416666666667
"115",16.2083333333333
"116",15.2708333333333
"117",14.8125
"118",15.0520833333333
"119",15.5208333333333
"120",16.1354166666667
"121",NA
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
