"","x"
"1",21.3399608137939
"2",30.7664560736673
"3",35.8149619648226
"4",13.5647515277923
"5",2.84151456795113
"6",-10.805243316462
"7",-15.9169836316645
"8",-28.6774002980395
"9",-24.2676780750811
"10",-23.5790206689978
"11",-5.38424273378452
"12",4.30292377600221
"13",21.3399608137939
"14",30.7664560736673
"15",35.8149619648226
"16",13.5647515277923
"17",2.84151456795113
"18",-10.805243316462
"19",-15.9169836316645
"20",-28.6774002980395
"21",-24.2676780750811
"22",-23.5790206689978
"23",-5.38424273378452
"24",4.30292377600221
"25",21.3399608137939
"26",30.7664560736673
"27",35.8149619648226
"28",13.5647515277923
"29",2.84151456795113
"30",-10.805243316462
"31",-15.9169836316645
"32",-28.6774002980395
"33",-24.2676780750811
"34",-23.5790206689978
"35",-5.38424273378452
"36",4.30292377600221
"37",21.3399608137939
"38",30.7664560736673
"39",35.8149619648226
"40",13.5647515277923
"41",2.84151456795113
"42",-10.805243316462
"43",-15.9169836316645
"44",-28.6774002980395
"45",-24.2676780750811
"46",-23.5790206689978
"47",-5.38424273378452
"48",4.30292377600221
"49",21.3399608137939
"50",30.7664560736673
"51",35.8149619648226
"52",13.5647515277923
"53",2.84151456795113
"54",-10.805243316462
"55",-15.9169836316645
"56",-28.6774002980395
"57",-24.2676780750811
"58",-23.5790206689978
"59",-5.38424273378452
"60",4.30292377600221
"61",21.3399608137939
"62",30.7664560736673
"63",35.8149619648226
"64",13.5647515277923
"65",2.84151456795113
"66",-10.805243316462
"67",-15.9169836316645
"68",-28.6774002980395
"69",-24.2676780750811
"70",-23.5790206689978
"71",-5.38424273378452
"72",4.30292377600221
"73",21.3399608137939
"74",30.7664560736673
"75",35.8149619648226
"76",13.5647515277923
"77",2.84151456795113
"78",-10.805243316462
"79",-15.9169836316645
"80",-28.6774002980395
"81",-24.2676780750811
"82",-23.5790206689978
"83",-5.38424273378452
"84",4.30292377600221
"85",21.3399608137939
"86",30.7664560736673
"87",35.8149619648226
"88",13.5647515277923
"89",2.84151456795113
"90",-10.805243316462
"91",-15.9169836316645
"92",-28.6774002980395
"93",-24.2676780750811
"94",-23.5790206689978
"95",-5.38424273378452
"96",4.30292377600221
"97",21.3399608137939
"98",30.7664560736673
"99",35.8149619648226
"100",13.5647515277923
"101",2.84151456795113
"102",-10.805243316462
"103",-15.9169836316645
"104",-28.6774002980395
"105",-24.2676780750811
"106",-23.5790206689978
"107",-5.38424273378452
"108",4.30292377600221
"109",21.3399608137939
"110",30.7664560736673
"111",35.8149619648226
"112",13.5647515277923
"113",2.84151456795113
"114",-10.805243316462
"115",-15.9169836316645
"116",-28.6774002980395
"117",-24.2676780750811
"118",-23.5790206689978
"119",-5.38424273378452
"120",4.30292377600221
"121",21.3399608137939
"122",30.7664560736673
"123",35.8149619648226
"124",13.5647515277923
"125",2.84151456795113
"126",-10.805243316462
"127",-15.9169836316645
"128",-28.6774002980395
"129",-24.2676780750811
"130",-23.5790206689978
"131",-5.38424273378452
"132",4.30292377600221
"133",21.3399608137939
"134",30.7664560736673
"135",35.8149619648226
"136",13.5647515277923
"137",2.84151456795113
"138",-10.805243316462
"139",-15.9169836316645
"140",-28.6774002980395
"141",-24.2676780750811
"142",-23.5790206689978
"143",-5.38424273378452
"144",4.30292377600221
"145",21.3399608137939
"146",30.7664560736673
"147",35.8149619648226
"148",13.5647515277923
"149",2.84151456795113
"150",-10.805243316462
"151",-15.9169836316645
