"","seasonal","trend","remainder"
"1",-0.282379673925464,0.706440212314007,-0.114272406988543
"2",-0.318886480855407,0.692565728242111,-0.178972881744381
"3",-0.186102720462602,0.678691244170216,-0.401144868531956
"4",0.0871973091149745,0.66481676009832,-0.752014069213294
"5",0.218715135718603,0.640892068744771,0.128939850936626
"6",0.578123955129106,0.616967377391222,0.782002778279672
"7",0.402796046758484,0.593042686037673,0.729249310805219
"8",0.054989278132236,0.571000971518869,0.736785020348895
"9",0.108463461227257,0.548959257000065,0.045456319372678
"10",-0.171709456751009,0.526917542481261,-0.0884953667488123
"11",-0.220349642733597,0.47862517018562,-0.258275527452023
"12",-0.281565707217705,0.430332797889979,-0.148767090672274
"13",-0.283199213149534,0.382040425594338,-0.0988412124448042
"14",-0.316163433700188,0.345708057349902,-0.0295446236497143
"15",-0.18029988536457,0.309375689105466,-0.129075803740896
"16",0.102020059855922,0.27304332086103,-0.375063380716952
"17",0.231387492691674,0.274397916594263,-0.320612950553211
"18",0.583067656380396,0.275752512327496,-0.347110992458829
"19",0.382750557792996,0.277107108060729,0.040174703446275
"20",0.0410801751462686,0.274963853216305,0.425443950357801
"21",0.103185690818576,0.272820598371882,0.402771101909542
"22",-0.174183030950005,0.270677343527458,0.292894382972547
"23",-0.219671304750722,0.264175895953149,-0.0445045912024263
"24",-0.281361330115188,0.257674448378839,0.0236868817363485
"25",-0.283959834569314,0.25117300080453,0.0327868337647839
"26",-0.313444419542256,0.229718161391874,0.0837262581503822
"27",-0.174564034065401,0.208263321979217,-0.0336992879138163
"28",0.116672050317618,0.186808482566561,-0.303480532884179
"29",0.243785312905105,0.176010204069112,-0.419795516974218
"30",0.587631186166913,0.165211925571664,-0.752843111738578
"31",0.362219262657601,0.154413647074216,1.28461216946818
"32",0.0266172510168717,0.16712381613335,-0.193741067150221
"33",0.0972860842929426,0.179833985192483,-0.277120069485426
"34",-0.177279860043403,0.192544154251617,-0.015264294208214
"35",-0.2196176404397,0.200584505663191,0.019033134776509
"36",-0.281708246212023,0.208624857074764,0.0730833891372591
"37",-0.285401499218221,0.216665208486338,0.0687362907318829
"38",-0.306309463907085,0.212976585536683,0.0981064580162719
"39",-0.163721837551224,0.209287962587028,-0.0355858887358042
"40",0.147933989618544,0.205599339637374,0.602823699044082
"41",0.262767496025273,0.216844039805888,-0.47961153583116
"42",0.587370207843421,0.228088739974401,-0.135789451517822
"43",0.331257481468752,0.239333440142915,-0.0420822327116677
"44",-0.00443670455178462,0.261564846905043,-0.257128142353258
"45",0.0845513711154259,0.283796253667171,-0.368347624782596
"46",-0.180577822041977,0.306027660429298,0.0686442214126788
"47",-0.216468619051355,0.329963695023916,0.274693043627439
"48",-0.278458726455602,0.353899729618534,0.118653056637068
"49",-0.285900998922221,0.377835764213151,-0.0919347652909308
