"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",34.253472221275
"8",35.9085648140542
"9",36.2326388883333
"10",36.64930555525
"11",37.5636574074583
"12",37.294560185375
"13",37.164351852125
"14",35.06365740775
"15",34.4733796300417
"16",35.9143518523333
"17",35.7407407410833
"18",35.7494212965
"19",37.5115740744167
"20",40.462962963375
"21",42.3437500003333
"22",42.9021990742917
"23",42.1064814816667
"24",41.0466269843333
"25",39.295221561125
"26",37.7587632279167
"27",36.317791005625
"28",34.8768187833333
"29",34.7900132278542
"30",34.5209160057083
"31",34.7205687834167
"32",34.2923280425833
"33",34.0145502647917
"34",34.652088845125
"35",35.470182980875
"36",35.1017967374167
"37",34.27218364225
"38",34.6107253089375
"39",34.6975308645
"40",34.6975308645
"41",34.5065586422708
"42",34.3155864200417
"43",33.4880401237083
"44",33.2363040125
"45",33.2727623458333
"46",31.0937500001667
"47",28.700617284125
"48",28.739969135875
"49",28.2480709875
"50",26.8765432096458
"51",27.6925154319583
"52",28.5952932098333
"53",29.0466820987917
"54",31.99807098775
"55",35.3863811730417
"56",36.8215663584167
"57",37.6531635807917
"58",38.0343364204167
"59",37.8009259267917
"60",34.9884259270833
"61",32.5057870383333
"62",32.5057870383333
"63",31.6030092604583
"64",31.2905092602917
"65",31.4293981490417
"66",30.190972223
"67",28.8396990746667
"68",28.5011574077917
"69",28.44907407425
"70",29.02777777775
"71",29.2766203702083
"72",28.66898148125
"73",28.66898148125
"74",28.66898148125
"75",29.3634259258333
"76",30.0665509260417
"77",32.870370370625
"78",36.0879629633333
"79",37.4479166670833
"80",38.7268518522917
"81",39.1030092597917
"82",37.6620370377083
"83",36.44675926
"84",36.7071759266667
"85",37.089120371125
"86",37.4710648155833
"87",36.776620371
"88",35.4832175930833
"89",32.1932870374583
"90",28.16550925975
"91",26.6550925932917
"92",25.6886574080833
"93",24.0798611118333
"94",23.0150462970417
"95",21.8518518524583
"96",20.9375000005833
"97",20.555555556125
"98",20.1736111116667
"99",20.1736111116667
"100",20.7118055560417
"101",22.8298611114583
"102",26.7476851852917
"103",29.2013888887083
"104",28.6226851849583
"105",27.798996913375
"106",28.5725308639583
"107",29.990354938
"108",30.50540123425
"109",30.50540123425
"110",30.50540123425
"111",30.50540123425
"112",30.5459104935
"113",31.471836419625
"114",31.91165123475
"115",31.5412808645625
"116",33.022762346125
"117",34.3672839508333
"118",32.5231481481667
"119",29.7511574074583
"120",28.761574074125
"121",28.761574074125
"122",28.761574074125
"123",28.761574074125
"124",28.1828703705
"125",27.0486111110417
"126",25.2951388883333
"127",24.4097222213542
"128",24.2447916658333
"129",23.7326388883333
"130",24.8958333329167
"131",26.336805555125
"132",26.5798611106667
"133",27.170138888375
"134",27.7604166660833
"135",29.045138888375
"136",32.6909722217083
"137",36.2646343371691
"138",39.9424631195049
"139",39.0570464530466
"140",32.9835510825591
"141",31.4644538600716
"142",33.4841297857799
"143",37.2167686744049
"144",43.1803103409466
"145",48.2757964519883
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
