"","x"
"1",0
"2",0.75
"3",0
"4",15
"5",31
"6",39.75
"7",38
"8",49
"9",0
"10",0
"11",2.5
"12",0
"13",3.5
"14",3
"15",9
"16",20.75
"17",41.833333333
"18",45.5
"19",21.833333333
"20",21
"21",0
"22",0
"23",9
"24",7.75
"25",14.625
"26",27.75
"27",24
"28",7.5
"29",45.75
"30",24.5
"31",1
"32",0
"33",10.5
"34",15
"35",0
"36",15.5
"37",21.5
"38",23.666666667
"39",54.5
"40",31.5
"41",24.5
"42",30.75
"43",2.5
"44",0
"45",0
"46",0
"47",0
"48",1.375
"49",2.25
"50",20.1
"51",32.5
"52",36.5
"53",13.66666667
"54",0
"55",2
"56",0
"57",0
"58",7.3333333333
"59",35.5
"60",61.85
"61",41.214285713
"62",22
"63",12.5
"64",31
"65",2
"66",0
"67",0.5
"68",0
"69",24
"70",37
"71",35.833333333
"72",30.5
"73",15
"74",0
"75",8.75
"76",20.5
"77",22.75
"78",17
"79",30
"80",70.5
"81",13.066666665
"82",50.5
"83",14
"84",30.5
"85",0
"86",12
"87",18
"88",8.25
"89",36.75
"90",42.66666667
"91",0.5
"92",14.5
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",32.76960784
"101",2.9615384615
"102",14.5
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",10.5
"110",14.5
"111",0
"112",0.75
"113",0
"114",15
"115",31
"116",39.75
"117",38
"118",49
"119",0
"120",0
"121",2.5
"122",0
"123",3.5
"124",3
"125",9
"126",20.75
