"","x"
"1",-3.18377916725904
"2",-1.50550535755534
"3",2.3873187164817
"4",5.34783069870392
"5",5.20943410142614
"6",5.18824464277799
"7",-3.10013921686756
"8",3.63423578316577
"9",-7.29555588366756
"10",0.066527449829107
"11",-5.99180588353423
"12",-0.756805883500894
"13",-3.18377916725904
"14",-1.50550535755534
"15",2.3873187164817
"16",5.34783069870392
"17",5.20943410142614
"18",5.18824464277799
"19",-3.10013921686756
"20",3.63423578316577
"21",-7.29555588366756
"22",0.066527449829107
"23",-5.99180588353423
"24",-0.756805883500894
"25",-3.18377916725904
"26",-1.50550535755534
"27",2.3873187164817
"28",5.34783069870392
"29",5.20943410142614
"30",5.18824464277799
"31",-3.10013921686756
"32",3.63423578316577
"33",-7.29555588366756
"34",0.066527449829107
"35",-5.99180588353423
"36",-0.756805883500894
"37",-3.18377916725904
"38",-1.50550535755534
"39",2.3873187164817
"40",5.34783069870392
"41",5.20943410142614
"42",5.18824464277799
"43",-3.10013921686756
"44",3.63423578316577
"45",-7.29555588366756
"46",0.066527449829107
"47",-5.99180588353423
"48",-0.756805883500894
"49",-3.18377916725904
"50",-1.50550535755534
"51",2.3873187164817
"52",5.34783069870392
"53",5.20943410142614
"54",5.18824464277799
"55",-3.10013921686756
"56",3.63423578316577
"57",-7.29555588366756
"58",0.066527449829107
"59",-5.99180588353423
"60",-0.756805883500894
"61",-3.18377916725904
"62",-1.50550535755534
"63",2.3873187164817
"64",5.34783069870392
"65",5.20943410142614
"66",5.18824464277799
"67",-3.10013921686756
"68",3.63423578316577
"69",-7.29555588366756
"70",0.066527449829107
"71",-5.99180588353423
"72",-0.756805883500894
"73",-3.18377916725904
"74",-1.50550535755534
"75",2.3873187164817
"76",5.34783069870392
"77",5.20943410142614
"78",5.18824464277799
"79",-3.10013921686756
"80",3.63423578316577
"81",-7.29555588366756
"82",0.066527449829107
"83",-5.99180588353423
"84",-0.756805883500894
"85",-3.18377916725904
"86",-1.50550535755534
"87",2.3873187164817
"88",5.34783069870392
"89",5.20943410142614
"90",5.18824464277799
"91",-3.10013921686756
"92",3.63423578316577
"93",-7.29555588366756
"94",0.066527449829107
"95",-5.99180588353423
"96",-0.756805883500894
"97",-3.18377916725904
"98",-1.50550535755534
"99",2.3873187164817
"100",5.34783069870392
"101",5.20943410142614
"102",5.18824464277799
"103",-3.10013921686756
"104",3.63423578316577
"105",-7.29555588366756
"106",0.066527449829107
"107",-5.99180588353423
"108",-0.756805883500894
"109",-3.18377916725904
"110",-1.50550535755534
"111",2.3873187164817
"112",5.34783069870392
"113",5.20943410142614
"114",5.18824464277799
"115",-3.10013921686756
"116",3.63423578316577
"117",-7.29555588366756
"118",0.066527449829107
"119",-5.99180588353423
"120",-0.756805883500894
"121",-3.18377916725904
"122",-1.50550535755534
"123",2.3873187164817
"124",5.34783069870392
"125",5.20943410142614
"126",5.18824464277799
