SigmaPlotDate,YYYY,MM,NPGO,PDO,ONI,Station,Mean(Limacina density),Mean(Log10Density),Mean(AragoniteSat(40m)),Mean(upper 100mArag)
01/16/1998,1998,1,0.53,0.83,2.1,NH25,1.040742135,0.3097881314,,
02/16/1998,1998,2,1.9,1.56,1.8,,,,,
03/16/1998,1998,3,0.89,2.01,1.4,,,,,
04/16/1998,1998,4,0.52,1.27,1,NH25,0,0,,
05/16/1998,1998,5,0.28,0.7,0.5,,,,,
06/16/1998,1998,6,0.12,0.4,-0.1,NH25,93.86240061,1.9770941108,,
07/16/1998,1998,7,0.39,-0.04,-0.7,,,,,
08/16/1998,1998,8,0.27,-0.22,-1,NH25,23.13217498,1.36277527,,1.5185766286
09/16/1998,1998,9,0.04,-1.21,-1.2,NH25,4.0519229225,0.7028790376,,
10/16/1998,1998,10,0.1,-1.39,-1.2,,,,,
11/16/1998,1998,11,0.72,-0.52,-1.3,NH25,0,0,,1.3009879329
12/16/1998,1998,12,0.77,-0.44,-1.4,,,,,
01/16/1999,1999,1,1.08,-0.32,-1.4,,,,,
02/16/1999,1999,2,2.3,-0.66,-1.2,NH25,0,0,,1.5402178018
03/16/1999,1999,3,1.97,-0.33,-1,,,,,
04/16/1999,1999,4,1.65,-0.41,-0.9,NH25,0,0,,1.712179716
05/16/1999,1999,5,1.6,-0.68,-0.9,,,,,
06/16/1999,1999,6,1.91,-1.3,-1,,,,,
07/16/1999,1999,7,1.38,-0.66,-1,NH25,4.1218910815,0.7000323693,1.554538683,1.4870350289
08/16/1999,1999,8,1.43,-0.96,-1,,,,,
09/16/1999,1999,9,1.3,-1.53,-1.1,NH25,6.669979735,0.7787773911,1.558768156,1.4820232726
10/16/1999,1999,10,1.18,-2.23,-1.2,,,,,
11/16/1999,1999,11,1.32,-2.05,-1.4,NH25,0,0,,1.3579258028
12/16/1999,1999,12,1.05,-1.63,-1.6,,,,,
01/16/2000,2000,1,1.4,-2,-1.6,,,,,
02/16/2000,2000,2,2.12,-0.83,-1.4,NH25,0,0,,1.5353850284
03/16/2000,2000,3,2.15,0.29,-1.1,NH25,0,0,,
04/16/2000,2000,4,2.37,0.35,-0.9,NH25,0,0,1.735817779,1.7308003376
05/16/2000,2000,5,2.22,-0.05,-0.7,,,,,
06/16/2000,2000,6,2.1,-0.44,-0.7,NH25,0,0,,
07/16/2000,2000,7,1.66,-0.66,-0.6,NH25,62.2768832,1.8012450792,,1.3765024293
08/16/2000,2000,8,1.35,-1.19,-0.5,NH25,0,0,,
09/16/2000,2000,9,1.38,-1.24,-0.6,NH25,0,0,,1.2331870496
10/16/2000,2000,10,1.7,-1.3,-0.7,,,,,
11/16/2000,2000,11,2.01,-0.53,-0.8,,,,,
12/16/2000,2000,12,2.16,0.52,-0.8,,,,,
01/16/2001,2001,1,2.86,0.6,-0.7,NH25,0,0,,1.5421451497
02/16/2001,2001,2,2.96,0.29,-0.6,,,,,
03/16/2001,2001,3,2.39,0.45,-0.5,NH25,0.023516624,0.0099802363,,1.7437253188
04/16/2001,2001,4,2.2,-0.31,-0.3,NH25,8.043926586,0.9563570283,,
05/16/2001,2001,5,1.95,-0.3,-0.2,NH25,0,0,,
06/16/2001,2001,6,2.35,-0.47,-0.1,NH25,10.936917725,0.6796694963,,
07/16/2001,2001,7,1.5,-1.31,0,NH25,3.4876260907,0.5285086889,,1.6202138594
08/16/2001,2001,8,1.92,-0.77,-0.1,NH25,0,0,,
09/16/2001,2001,9,1.89,-1.37,-0.1,NH25,0,0,,1.3817687374
10/16/2001,2001,10,1.16,-1.37,-0.2,,,,,
11/16/2001,2001,11,1.76,-1.26,-0.3,NH25,2.48776368,0.3881881196,,1.5945834489
12/16/2001,2001,12,2.02,-0.93,-0.3,,,,,
01/16/2002,2002,1,1.86,0.27,-0.2,NH25,0,0,,
02/16/2002,2002,2,2.18,-0.64,-0.1,NH25,0,0,1.769867955,1.638180686
03/16/2002,2002,3,1.9,-0.43,0.1,NH25,5.01860074,0.5214294853,,
04/16/2002,2002,4,0.9,-0.32,0.2,NH25,32.59630381,0.9104047451,,1.5644883629
05/16/2002,2002,5,1.1,-0.63,0.4,NH25,125.6616358,1.2009786535,,1.3927577503
06/16/2002,2002,6,1.61,-0.35,0.7,NH25,43.85301096,1.0440373163,,1.4751636169
07/16/2002,2002,7,1.38,-0.31,0.8,NH25,0,0,1.2656715,1.2149089296
